
"Line Number","Order Code","Qty","Product Description","Manufacturer Name & Part No.","RoHS","List Price","Availability","Line Price","Line note"

1,"1753785","2","RF TUNING VARACTOR DIODE","SKYWORKS SOLUTIONS INC - SMV1249-079LF","YES ","0.4536","In Stock","0.91","RF TUNING VARACTOR DIODE"
2,"1189327","1","CAPACITOR, VARIABLE, 5 TO 20PF","AVX - CTZ2E-20C-W2-P","YES ","0.6237","In Stock","0.62","VARIABLE CAPACITOR 5-20pF"

3,"1865473","10","CAPACITOR, NP0, 0603, 50V, 13PF","KEMET - C0603C130J5GACTU","YES ","0.0105","In Stock","0.11","CAPACITOR 13pF 50V"
4,"1841971","1","XTAL, 13.560MHZ, 18PF, SMD, 5.0X3.2","TXC - 7B-13.560MAAJ-T","YES ","0.5913","In Stock","0.59","13.560MHz XTAL 5x3mm"

5,"1494165","1","TRANSMITTER, ASK/FSK, UHF, MSOP10","MICREL SEMICONDUCTOR - MICRF112YMM","YES ","2.66","In Stock","2.66","MICREL MICRF112YMM UHF"
6,"721852","10","CAPACITOR, 0603, 1.20PF, 50V","YAGEO (PHYCOMP) - CC0603CRNPO9BN1R2","YES ","0.0275","In Stock","0.28","CAPACITOR 1.2pF"

7,"1343111","5","INDUCTOR, 0603 CASE, SHIELD, 680NH±10%","MURATA - LQM18NNR68K00D","YES ","0.1571","In Stock","0.79","INDUCTOR 680nH"
8,"1650758","1","CAPACITOR, CERAMIC MULTILAYER","JOHANSON TECHNOLOGY - 251R14S2R2BV4T...","YES ","0.0486","In Stock","0.05","CAPACITOR 2.2pF"
9,"8819807","10","CAPACITOR, 0603, 6.8PF, 50V","MURATA - GRM1885C1H6R8DZ01D","YES ","0.0397","In Stock","0.4","CAPACITOR 6.8pF"

10,"9406115","10","CAPACITOR, 0603, 100PF, 50V","MULTICOMP - U0603C101JCT","YES ","0.0154","In Stock","0.15","CAPACITOR 100pF"
11,"1833863","10","CAPACITOR, 0603, X7R, 16V, 100NF","AVX - 0603YC104K4T4A","YES ","0.0122","In Stock","0.12","CAPACITOR 100nF"

12,"1627775","10","RESISTOR, SURGE, 10K, 1%, 0603","KOA - SG73S1JTTD1002F","Y-EX ","0.0251","In Stock","0.25","RESISTOR 63mW 10KR"
13,"1294515","5","CAPACITOR, 0603, 9.1PF, 200V, C0G","MURATA - ERB1885C2D9R1CDX5D","YES ","0.0494","In Stock","0.25","CAPACITOR 9.1pF"

14,"1738931","25","RESISTOR, 0603, 1%, 100K","VISHAY DRALORIC - CRCW0603100KFKEAHP","Y-EX ","0.0243","In Stock","0.61","RESISTOR 0.1W 100KR"
15,"1668492","1","HEADER, 2.54MM, SINGLE, 4WAY","SAMTEC - TLW-104-05-G-S","YES ","0.4698","In Stock","0.47","4x1 HEADER PC BOARD"

16,"1748739","3","INDUCTOR, 0402, 43NH, 100MA","WUERTH ELEKTRONIK - 744765143A","YES ","0.2754","In Stock","0.83","INDUCTOR 43nH"
17,"1463375","2","CAPACITOR, 0603, 10UF, 6.3V, X5R","TAIYO YUDEN - JMK107BJ106MA-T","YES ","0.4455","In Stock","0.89","CAPACITOR 10uF"
"","","","","","","","",""
"","","","","","","","Goods Subtotal:","9.98"
"","","","","","","","Promotion Code Discount:","0.0"
"","","","","","","","Delivery Charges","Unknown"
"","","","","","","","Your Total Price:","9.98"
"","","","","","","","VAT","2.0"
"","","","","","","","Total (Excl Delivery)","11.98"
